id,mac1_rssi,mac2_rssi,mac3_rssi,point
12,-56,-66,-72,1
13,-56,-59,-72,1
14,-56,-59,-63,1
15,-66,-59,-63,1
16,-66,-64,-63,1
17,-58,-64,-63,1
18,-58,-68,-63,1
19,-61,-68,-66,1
20,-58,-68,-66,1
21,-61,-68,-66,1
22,-61,-70,-66,1
23,-61,-70,-71,1
24,-60,-70,-71,1
25,-60,-70,-62,1
26,-66,-70,-62,1
27,-76,-46,-53,2
28,-67,-46,-53,2
29,-67,-55,-53,2
30,-67,-53,-53,2
31,-67,-56,-53,2
32,-67,-56,-56,2
33,-67,-56,-58,2
34,-67,-49,-58,2
35,-67,-49,-61,2
36,-67,-53,-61,2
37,-76,-53,-54,2
38,-67,-53,-54,2
39,-80,-53,-54,2
40,-80,-45,-54,2
41,-77,-76,-54,3
42,-73,-76,-54,3
43,-73,-80,-54,3
44,-73,-71,-54,3
45,-73,-71,-50,3
46,-73,-71,-48,3
47,-73,-64,-48,3
48,-73,-64,-44,3
49,-73,-64,-55,3
50,-73,-73,-55,3
51,-75,-73,-55,3
52,-75,-73,-54,3
53,-75,-79,-54,3
54,-75,-71,-54,3
55,-82,-71,-54,3
56,-82,-71,-57,3
57,-71,-71,-57,3
58,-71,-75,-57,3
59,-71,-75,-48,3
60,-71,-70,-48,3
61,-71,-70,-71,3
62,-71,-70,-51,3
63,-72,-70,-51,3
64,-72,-78,-51,3
65,-72,-71,-51,3
66,-77,-71,-51,3
